ASNumber,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue],(NoisePercent=BinValue/NoiseValue),(Status(NoisePercent<100%);Status(BinValue-NoiseValue>0))
24940,279768+-5671,[274097;285439],(2.0%),(visible;positive)
14061,173609+-5671,[167938;179280],(3.3%),(visible;positive)
5384,168057+-5671,[162386;173728],(3.4%),(visible;positive)
17974,150183+-5671,[144512;155854],(3.8%),(visible;positive)
12876,149306+-5671,[143635;154977],(3.8%),(visible;positive)
9039,141045+-5671,[135374;146716],(4.0%),(visible;positive)
12389,121063+-5671,[115392;126734],(4.7%),(visible;positive)
30083,115301+-5671,[109630;120972],(4.9%),(visible;positive)
14618,106845+-5671,[101174;112516],(5.3%),(visible;positive)
15169,101133+-5671,[95462;106804],(5.6%),(visible;positive)
18209,94481+-5671,[88810;100152],(6.0%),(visible;positive)
16276,84170+-5671,[78499;89841],(6.7%),(visible;positive)
63949,77588+-5671,[71917;83259],(7.3%),(visible;positive)
3462,75518+-5671,[69847;81189],(7.5%),(visible;positive)
3320,73380+-5671,[67709;79051],(7.7%),(visible;positive)
7922,71033+-5671,[65362;76704],(8.0%),(visible;positive)
15895,70453+-5671,[64782;76124],(8.0%),(visible;positive)
15802,68655+-5671,[62984;74326],(8.3%),(visible;positive)
45758,67401+-5671,[61730;73072],(8.4%),(visible;positive)
23969,58580+-5671,[52909;64251],(9.7%),(visible;positive)
39572,49878+-5671,[44207;55549],(11.4%),(visible;positive)
16509,48594+-5671,[42923;54265],(11.7%),(visible;positive)
8359,48393+-5671,[42722;54064],(11.7%),(visible;positive)
22625,45024+-5671,[39353;50695],(12.6%),(visible;positive)
32780,42492+-5671,[36821;48163],(13.3%),(visible;positive)
6830,41298+-5671,[35627;46969],(13.7%),(visible;positive)
12714,40801+-5671,[35130;46472],(13.9%),(visible;positive)
17552,38880+-5671,[33209;44551],(14.6%),(visible;positive)
12578,36547+-5671,[30876;42218],(15.5%),(visible;positive)
8151,35410+-5671,[29739;41081],(16.0%),(visible;positive)
3215,34558+-5671,[28887;40229],(16.4%),(visible;positive)
16345,34461+-5671,[28790;40132],(16.5%),(visible;positive)
8369,33599+-5671,[27928;39270],(16.9%),(visible;positive)
3269,33390+-5671,[27719;39061],(17.0%),(visible;positive)
39264,32799+-5671,[27128;38470],(17.3%),(visible;positive)
12322,30128+-5671,[24457;35799],(18.8%),(visible;positive)
3209,29109+-5671,[23438;34780],(19.5%),(visible;positive)
25474,29093+-5671,[23422;34764],(19.5%),(visible;positive)
21928,28962+-5671,[23291;34633],(19.6%),(visible;positive)
3352,28634+-5671,[22963;34305],(19.8%),(visible;positive)
9829,27442+-5671,[21771;33113],(20.7%),(visible;positive)
39608,27335+-5671,[21664;33006],(20.7%),(visible;positive)
5089,27081+-5671,[21410;32752],(20.9%),(visible;positive)
17451,26992+-5671,[21321;32663],(21.0%),(visible;positive)
8972,26850+-5671,[21179;32521],(21.1%),(visible;positive)
45899,26678+-5671,[21007;32349],(21.3%),(visible;positive)
131090,25060+-5671,[19389;30731],(22.6%),(visible;positive)
31334,24913+-5671,[19242;30584],(22.8%),(visible;positive)
20473,24763+-5671,[19092;30434],(22.9%),(visible;positive)
393406,24139+-5671,[18468;29810],(23.5%),(visible;positive)
22394,23756+-5671,[18085;29427],(23.9%),(visible;positive)
51167,23285+-5671,[17614;28956],(24.4%),(visible;positive)
8402,22569+-5671,[16898;28240],(25.1%),(visible;positive)
7018,21560+-5671,[15889;27231],(26.3%),(visible;positive)
55836,21368+-5671,[15697;27039],(26.5%),(visible;positive)
21497,19692+-5671,[14021;25363],(28.8%),(visible;positive)
6849,19588+-5671,[13917;25259],(29.0%),(visible;positive)
36351,19563+-5671,[13892;25234],(29.0%),(visible;positive)
4621,19430+-5671,[13759;25101],(29.2%),(visible;positive)
2856,19343+-5671,[13672;25014],(29.3%),(visible;positive)
25159,19327+-5671,[13656;24998],(29.3%),(visible;positive)
4713,19264+-5671,[13593;24935],(29.4%),(visible;positive)
6805,19040+-5671,[13369;24711],(29.8%),(visible;positive)
812,17742+-5671,[12071;23413],(32.0%),(visible;positive)
7713,17387+-5671,[11716;23058],(32.6%),(visible;positive)
3303,17237+-5671,[11566;22908],(32.9%),(visible;positive)
35816,17131+-5671,[11460;22802],(33.1%),(visible;positive)
49505,16880+-5671,[11209;22551],(33.6%),(visible;positive)
43350,16836+-5671,[11165;22507],(33.7%),(visible;positive)
25229,16485+-5671,[10814;22156],(34.4%),(visible;positive)
17072,16041+-5671,[10370;21712],(35.4%),(visible;positive)
16262,15980+-5671,[10309;21651],(35.5%),(visible;positive)
12958,15936+-5671,[10265;21607],(35.6%),(visible;positive)
27843,15748+-5671,[10077;21419],(36.0%),(visible;positive)
701,15660+-5671,[9989;21331],(36.2%),(visible;positive)
32934,15574+-5671,[9903;21245],(36.4%),(visible;positive)
23693,15451+-5671,[9780;21122],(36.7%),(visible;positive)
8866,15262+-5671,[9591;20933],(37.2%),(visible;positive)
9304,15133+-5671,[9462;20804],(37.5%),(visible;positive)
201679,15007+-5671,[9336;20678],(37.8%),(visible;positive)
7470,14901+-5671,[9230;20572],(38.1%),(visible;positive)
17577,14785+-5671,[9114;20456],(38.4%),(visible;positive)
25513,14765+-5671,[9094;20436],(38.4%),(visible;positive)
20057,14726+-5671,[9055;20397],(38.5%),(visible;positive)
34058,14642+-5671,[8971;20313],(38.7%),(visible;positive)
23700,14632+-5671,[8961;20303],(38.8%),(visible;positive)
17676,14554+-5671,[8883;20225],(39.0%),(visible;positive)
15557,14301+-5671,[8630;19972],(39.7%),(visible;positive)
9905,13899+-5671,[8228;19570],(40.8%),(visible;positive)
3216,13816+-5671,[8145;19487],(41.0%),(visible;positive)
1221,13691+-5671,[8020;19362],(41.4%),(visible;positive)
18403,13666+-5671,[7995;19337],(41.5%),(visible;positive)
9198,13399+-5671,[7728;19070],(42.3%),(visible;positive)
1241,13329+-5671,[7658;19000],(42.5%),(visible;positive)
209,13237+-5671,[7566;18908],(42.8%),(visible;positive)
4766,13198+-5671,[7527;18869],(43.0%),(visible;positive)
8551,12968+-5671,[7297;18639],(43.7%),(visible;positive)
6327,12623+-5671,[6952;18294],(44.9%),(visible;positive)
57918,12589+-5671,[6918;18260],(45.0%),(visible;positive)
11427,12288+-5671,[6617;17959],(46.2%),(visible;positive)
28573,12159+-5671,[6488;17830],(46.6%),(visible;positive)
12576,12120+-5671,[6449;17791],(46.8%),(visible;positive)
2516,12065+-5671,[6394;17736],(47.0%),(visible;positive)
23352,12061+-5671,[6390;17732],(47.0%),(visible;positive)
21645,11960+-5671,[6289;17631],(47.4%),(visible;positive)
9269,11955+-5671,[6284;17626],(47.4%),(visible;positive)
20115,11907+-5671,[6236;17578],(47.6%),(visible;positive)
5410,11877+-5671,[6206;17548],(47.7%),(visible;positive)
23947,11808+-5671,[6137;17479],(48.0%),(visible;positive)
4788,11733+-5671,[6062;17404],(48.3%),(visible;positive)
24560,11730+-5671,[6059;17401],(48.3%),(visible;positive)
14117,11686+-5671,[6015;17357],(48.5%),(visible;positive)
27715,11644+-5671,[5973;17315],(48.7%),(visible;positive)
13547,11636+-5671,[5965;17307],(48.7%),(visible;positive)
5607,11466+-5671,[5795;17137],(49.5%),(visible;positive)
9299,11235+-5671,[5564;16906],(50.5%),(visible;positive)
264791,11150+-5671,[5479;16821],(50.9%),(visible;positive)
9318,11137+-5671,[5466;16808],(50.9%),(visible;positive)
61731,11067+-5671,[5396;16738],(51.2%),(visible;positive)
1759,11063+-5671,[5392;16734],(51.3%),(visible;positive)
10481,11004+-5671,[5333;16675],(51.5%),(visible;positive)
21826,10966+-5671,[5295;16637],(51.7%),(visible;positive)
25133,10948+-5671,[5277;16619],(51.8%),(visible;positive)
31213,10789+-5671,[5118;16460],(52.6%),(visible;positive)
201143,10767+-5671,[5096;16438],(52.7%),(visible;positive)
44081,10716+-5671,[5045;16387],(52.9%),(visible;positive)
25019,10684+-5671,[5013;16355],(53.1%),(visible;positive)
56777,10673+-5671,[5002;16344],(53.1%),(visible;positive)
62703,10618+-5671,[4947;16289],(53.4%),(visible;positive)
60275,10613+-5671,[4942;16284],(53.4%),(visible;positive)
56050,10531+-5671,[4860;16202],(53.9%),(visible;positive)
24608,10517+-5671,[4846;16188],(53.9%),(visible;positive)
8881,10444+-5671,[4773;16115],(54.3%),(visible;positive)
9009,10442+-5671,[4771;16113],(54.3%),(visible;positive)
45102,10426+-5671,[4755;16097],(54.4%),(visible;positive)
4800,10367+-5671,[4696;16038],(54.7%),(visible;positive)
18881,10363+-5671,[4692;16034],(54.7%),(visible;positive)
10507,10164+-5671,[4493;15835],(55.8%),(visible;positive)
395688,10144+-5671,[4473;15815],(55.9%),(visible;positive)
49456,10135+-5671,[4464;15806],(56.0%),(visible;positive)
15645,10118+-5671,[4447;15789],(56.0%),(visible;positive)
135084,10106+-5671,[4435;15777],(56.1%),(visible;positive)
31252,10045+-5671,[4374;15716],(56.5%),(visible;positive)
202011,9983+-5671,[4312;15654],(56.8%),(visible;positive)
198757,9963+-5671,[4292;15634],(56.9%),(visible;positive)
43554,9960+-5671,[4289;15631],(56.9%),(visible;positive)
13188,9865+-5671,[4194;15536],(57.5%),(visible;positive)
3298,9840+-5671,[4169;15511],(57.6%),(visible;positive)
50976,9810+-5671,[4139;15481],(57.8%),(visible;positive)
29708,9785+-5671,[4114;15456],(58.0%),(visible;positive)
63333,9772+-5671,[4101;15443],(58.0%),(visible;positive)
4196,9724+-5671,[4053;15395],(58.3%),(visible;positive)
45941,9692+-5671,[4021;15363],(58.5%),(visible;positive)
200915,9669+-5671,[3998;15340],(58.7%),(visible;positive)
8588,9630+-5671,[3959;15301],(58.9%),(visible;positive)
265809,9534+-5671,[3863;15205],(59.5%),(visible;positive)
263152,9533+-5671,[3862;15204],(59.5%),(visible;positive)
59908,9497+-5671,[3826;15168],(59.7%),(visible;positive)
5650,9482+-5671,[3811;15153],(59.8%),(visible;positive)
59580,9465+-5671,[3794;15136],(59.9%),(visible;positive)
38669,9461+-5671,[3790;15132],(59.9%),(visible;positive)
44286,9423+-5671,[3752;15094],(60.2%),(visible;positive)
7552,9405+-5671,[3734;15076],(60.3%),(visible;positive)
136423,9390+-5671,[3719;15061],(60.4%),(visible;positive)
42610,9369+-5671,[3698;15040],(60.5%),(visible;positive)
133600,9342+-5671,[3671;15013],(60.7%),(visible;positive)
50127,9305+-5671,[3634;14976],(60.9%),(visible;positive)
201968,9290+-5671,[3619;14961],(61.0%),(visible;positive)
45458,9286+-5671,[3615;14957],(61.1%),(visible;positive)
206081,9277+-5671,[3606;14948],(61.1%),(visible;positive)
262732,9236+-5671,[3565;14907],(61.4%),(visible;positive)
55163,9192+-5671,[3521;14863],(61.7%),(visible;positive)
26335,9177+-5671,[3506;14848],(61.8%),(visible;positive)
30722,9176+-5671,[3505;14847],(61.8%),(visible;positive)
40626,9132+-5671,[3461;14803],(62.1%),(visible;positive)
