ASNumber,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue],(NoisePercent=BinValue/NoiseValue),(Status(NoisePercent<100%);Status(BinValue-NoiseValue>0))
54990,9129+-5671,[3458;14800],(62.1%),(visible;positive)
4750,9104+-5671,[3433;14775],(62.3%),(visible;positive)
32448,9103+-5671,[3432;14774],(62.3%),(visible;positive)
133481,9083+-5671,[3412;14754],(62.4%),(visible;positive)
41938,9075+-5671,[3404;14746],(62.5%),(visible;positive)
41835,9044+-5671,[3373;14715],(62.7%),(visible;positive)
62714,9038+-5671,[3367;14709],(62.7%),(visible;positive)
8422,9036+-5671,[3365;14707],(62.8%),(visible;positive)
13443,9025+-5671,[3354;14696],(62.8%),(visible;positive)
50446,8995+-5671,[3324;14666],(63.0%),(visible;positive)
45609,8989+-5671,[3318;14660],(63.1%),(visible;positive)
12430,8988+-5671,[3317;14659],(63.1%),(visible;positive)
55816,8986+-5671,[3315;14657],(63.1%),(visible;positive)
5617,8970+-5671,[3299;14641],(63.2%),(visible;positive)
267647,8960+-5671,[3289;14631],(63.3%),(visible;positive)
25255,8951+-5671,[3280;14622],(63.4%),(visible;positive)
3786,8949+-5671,[3278;14620],(63.4%),(visible;positive)
6210,8945+-5671,[3274;14616],(63.4%),(visible;positive)
9534,8938+-5671,[3267;14609],(63.4%),(visible;positive)
19399,8917+-5671,[3246;14588],(63.6%),(visible;positive)
42839,8915+-5671,[3244;14586],(63.6%),(visible;positive)
8114,8911+-5671,[3240;14582],(63.6%),(visible;positive)
49984,8905+-5671,[3234;14576],(63.7%),(visible;positive)
207036,8894+-5671,[3223;14565],(63.8%),(visible;positive)
10835,8888+-5671,[3217;14559],(63.8%),(visible;positive)
49253,8888+-5671,[3217;14559],(63.8%),(visible;positive)
12874,8882+-5671,[3211;14553],(63.8%),(visible;positive)
62951,8880+-5671,[3209;14551],(63.9%),(visible;positive)
31869,8878+-5671,[3207;14549],(63.9%),(visible;positive)
27297,8865+-5671,[3194;14536],(64.0%),(visible;positive)
9341,8861+-5671,[3190;14532],(64.0%),(visible;positive)
6989,8857+-5671,[3186;14528],(64.0%),(visible;positive)
9230,8838+-5671,[3167;14509],(64.2%),(visible;positive)
35807,8811+-5671,[3140;14482],(64.4%),(visible;positive)
24875,8799+-5671,[3128;14470],(64.5%),(visible;positive)
22049,8798+-5671,[3127;14469],(64.5%),(visible;positive)
201405,8798+-5671,[3127;14469],(64.5%),(visible;positive)
135105,8797+-5671,[3126;14468],(64.5%),(visible;positive)
40160,8789+-5671,[3118;14460],(64.5%),(visible;positive)
203980,8776+-5671,[3105;14447],(64.6%),(visible;positive)
12136,8763+-5671,[3092;14434],(64.7%),(visible;positive)
31133,8759+-5671,[3088;14430],(64.7%),(visible;positive)
25949,8756+-5671,[3085;14427],(64.8%),(visible;positive)
132199,8736+-5671,[3065;14407],(64.9%),(visible;positive)
44604,8735+-5671,[3064;14406],(64.9%),(visible;positive)
1419,8733+-5671,[3062;14404],(64.9%),(visible;positive)
24764,8730+-5671,[3059;14401],(65.0%),(visible;positive)
42162,8718+-5671,[3047;14389],(65.0%),(visible;positive)
49983,8703+-5671,[3032;14374],(65.2%),(visible;positive)
22773,8696+-5671,[3025;14367],(65.2%),(visible;positive)
30559,8672+-5671,[3001;14343],(65.4%),(visible;positive)
17218,8656+-5671,[2985;14327],(65.5%),(visible;positive)
8452,8649+-5671,[2978;14320],(65.6%),(visible;positive)
11911,8649+-5671,[2978;14320],(65.6%),(visible;positive)
135440,8645+-5671,[2974;14316],(65.6%),(visible;positive)
58276,8640+-5671,[2969;14311],(65.6%),(visible;positive)
4760,8637+-5671,[2966;14308],(65.7%),(visible;positive)
60824,8625+-5671,[2954;14296],(65.8%),(visible;positive)
49702,8618+-5671,[2947;14289],(65.8%),(visible;positive)
17701,8611+-5671,[2940;14282],(65.9%),(visible;positive)
62939,8599+-5671,[2928;14270],(65.9%),(visible;positive)
55106,8598+-5671,[2927;14269],(66.0%),(visible;positive)
46726,8595+-5671,[2924;14266],(66.0%),(visible;positive)
395737,8565+-5671,[2894;14236],(66.2%),(visible;positive)
266445,8563+-5671,[2892;14234],(66.2%),(visible;positive)
12989,8561+-5671,[2890;14232],(66.2%),(visible;positive)
48063,8556+-5671,[2885;14227],(66.3%),(visible;positive)
48679,8549+-5671,[2878;14220],(66.3%),(visible;positive)
28524,8545+-5671,[2874;14216],(66.4%),(visible;positive)
46057,8533+-5671,[2862;14204],(66.5%),(visible;positive)
205668,8522+-5671,[2851;14193],(66.5%),(visible;positive)
44420,8517+-5671,[2846;14188],(66.6%),(visible;positive)
59491,8516+-5671,[2845;14187],(66.6%),(visible;positive)
13128,8510+-5671,[2839;14181],(66.6%),(visible;positive)
24024,8504+-5671,[2833;14175],(66.7%),(visible;positive)
31791,8498+-5671,[2827;14169],(66.7%),(visible;positive)
36179,8488+-5671,[2817;14159],(66.8%),(visible;positive)
199008,8475+-5671,[2804;14146],(66.9%),(visible;positive)
51557,8464+-5671,[2793;14135],(67.0%),(visible;positive)
58976,8460+-5671,[2789;14131],(67.0%),(visible;positive)
132694,8424+-5671,[2753;14095],(67.3%),(visible;positive)
197454,8414+-5671,[2743;14085],(67.4%),(visible;positive)
58256,8411+-5671,[2740;14082],(67.4%),(visible;positive)
28408,8408+-5671,[2737;14079],(67.4%),(visible;positive)
263327,8405+-5671,[2734;14076],(67.5%),(visible;positive)
14808,8404+-5671,[2733;14075],(67.5%),(visible;positive)
62872,8399+-5671,[2728;14070],(67.5%),(visible;positive)
47098,8393+-5671,[2722;14064],(67.6%),(visible;positive)
12517,8378+-5671,[2707;14049],(67.7%),(visible;positive)
53989,8367+-5671,[2696;14038],(67.8%),(visible;positive)
206225,8364+-5671,[2693;14035],(67.8%),(visible;positive)
263766,8358+-5671,[2687;14029],(67.9%),(visible;positive)
394390,8358+-5671,[2687;14029],(67.9%),(visible;positive)
262983,8357+-5671,[2686;14028],(67.9%),(visible;positive)
5466,8349+-5671,[2678;14020],(67.9%),(visible;positive)
396062,8348+-5671,[2677;14019],(67.9%),(visible;positive)
42729,8347+-5671,[2676;14018],(67.9%),(visible;positive)
3180,8339+-5671,[2668;14010],(68.0%),(visible;positive)
13312,8333+-5671,[2662;14004],(68.1%),(visible;positive)
31902,8333+-5671,[2662;14004],(68.1%),(visible;positive)
44654,8333+-5671,[2662;14004],(68.1%),(visible;positive)
205171,8332+-5671,[2661;14003],(68.1%),(visible;positive)
266562,8321+-5671,[2650;13992],(68.2%),(visible;positive)
4761,8320+-5671,[2649;13991],(68.2%),(visible;positive)
263534,8313+-5671,[2642;13984],(68.2%),(visible;positive)
35146,8308+-5671,[2637;13979],(68.3%),(visible;positive)
56545,8289+-5671,[2618;13960],(68.4%),(visible;positive)
198881,8288+-5671,[2617;13959],(68.4%),(visible;positive)
21240,8284+-5671,[2613;13955],(68.5%),(visible;positive)
58284,8277+-5671,[2606;13948],(68.5%),(visible;positive)
56710,8268+-5671,[2597;13939],(68.6%),(visible;positive)
24129,8255+-5671,[2584;13926],(68.7%),(visible;positive)
64228,8248+-5671,[2577;13919],(68.8%),(visible;positive)
199797,8240+-5671,[2569;13911],(68.8%),(visible;positive)
134634,8235+-5671,[2564;13906],(68.9%),(visible;positive)
42195,8227+-5671,[2556;13898],(68.9%),(visible;positive)
17766,8219+-5671,[2548;13890],(69.0%),(visible;positive)
23365,8219+-5671,[2548;13890],(69.0%),(visible;positive)
46401,8212+-5671,[2541;13883],(69.1%),(visible;positive)
55316,8212+-5671,[2541;13883],(69.1%),(visible;positive)
50141,8201+-5671,[2530;13872],(69.2%),(visible;positive)
54072,8194+-5671,[2523;13865],(69.2%),(visible;positive)
264526,8188+-5671,[2517;13859],(69.3%),(visible;positive)
205260,8177+-5671,[2506;13848],(69.4%),(visible;positive)
38496,8168+-5671,[2497;13839],(69.4%),(visible;positive)
53486,8154+-5671,[2483;13825],(69.5%),(visible;positive)
49076,8150+-5671,[2479;13821],(69.6%),(visible;positive)
203161,8149+-5671,[2478;13820],(69.6%),(visible;positive)
31585,8145+-5671,[2474;13816],(69.6%),(visible;positive)
23096,8143+-5671,[2472;13814],(69.6%),(visible;positive)
19863,8140+-5671,[2469;13811],(69.7%),(visible;positive)
135267,8139+-5671,[2468;13810],(69.7%),(visible;positive)
6576,8136+-5671,[2465;13807],(69.7%),(visible;positive)
201363,8134+-5671,[2463;13805],(69.7%),(visible;positive)
15378,8130+-5671,[2459;13801],(69.8%),(visible;positive)
51020,8128+-5671,[2457;13799],(69.8%),(visible;positive)
34456,8127+-5671,[2456;13798],(69.8%),(visible;positive)
394396,8125+-5671,[2454;13796],(69.8%),(visible;positive)
55180,8123+-5671,[2452;13794],(69.8%),(visible;positive)
52294,8106+-5671,[2435;13777],(70.0%),(visible;positive)
54923,8105+-5671,[2434;13776],(70.0%),(visible;positive)
264443,8104+-5671,[2433;13775],(70.0%),(visible;positive)
23665,8097+-5671,[2426;13768],(70.0%),(visible;positive)
38511,8093+-5671,[2422;13764],(70.1%),(visible;positive)
265341,8084+-5671,[2413;13755],(70.2%),(visible;positive)
60711,8075+-5671,[2404;13746],(70.2%),(visible;positive)
50045,8074+-5671,[2403;13745],(70.2%),(visible;positive)
6900,8070+-5671,[2399;13741],(70.3%),(visible;positive)
48754,8063+-5671,[2392;13734],(70.3%),(visible;positive)
262186,8058+-5671,[2387;13729],(70.4%),(visible;positive)
29580,8057+-5671,[2386;13728],(70.4%),(visible;positive)
33338,8045+-5671,[2374;13716],(70.5%),(visible;positive)
30790,8023+-5671,[2352;13694],(70.7%),(visible;positive)
50536,8019+-5671,[2348;13690],(70.7%),(visible;positive)
64406,8018+-5671,[2347;13689],(70.7%),(visible;positive)
265229,8013+-5671,[2342;13684],(70.8%),(visible;positive)
26484,8005+-5671,[2334;13676],(70.8%),(visible;positive)
46262,8003+-5671,[2332;13674],(70.9%),(visible;positive)
51923,8002+-5671,[2331;13673],(70.9%),(visible;positive)
24098,8001+-5671,[2330;13672],(70.9%),(visible;positive)
266153,7993+-5671,[2322;13664],(70.9%),(visible;positive)
135846,7985+-5671,[2314;13656],(71.0%),(visible;positive)
30217,7981+-5671,[2310;13652],(71.1%),(visible;positive)
45996,7976+-5671,[2305;13647],(71.1%),(visible;positive)
24757,7967+-5671,[2296;13638],(71.2%),(visible;positive)
11579,7966+-5671,[2295;13637],(71.2%),(visible;positive)
15582,7962+-5671,[2291;13633],(71.2%),(visible;positive)
206281,7962+-5671,[2291;13633],(71.2%),(visible;positive)
50879,7959+-5671,[2288;13630],(71.3%),(visible;positive)
41971,7957+-5671,[2286;13628],(71.3%),(visible;positive)
10685,7950+-5671,[2279;13621],(71.3%),(visible;positive)
24058,7937+-5671,[2266;13608],(71.5%),(visible;positive)
42211,7935+-5671,[2264;13606],(71.5%),(visible;positive)
49381,7929+-5671,[2258;13600],(71.5%),(visible;positive)
6147,7925+-5671,[2254;13596],(71.6%),(visible;positive)
12479,7922+-5671,[2251;13593],(71.6%),(visible;positive)
30633,7920+-5671,[2249;13591],(71.6%),(visible;positive)
51690,7898+-5671,[2227;13569],(71.8%),(visible;positive)
5483,7897+-5671,[2226;13568],(71.8%),(visible;positive)
137023,7896+-5671,[2225;13567],(71.8%),(visible;positive)
20351,7894+-5671,[2223;13565],(71.8%),(visible;positive)
264519,7889+-5671,[2218;13560],(71.9%),(visible;positive)
265159,7888+-5671,[2217;13559],(71.9%),(visible;positive)
36046,7887+-5671,[2216;13558],(71.9%),(visible;positive)
51727,7881+-5671,[2210;13552],(72.0%),(visible;positive)
4739,7879+-5671,[2208;13550],(72.0%),(visible;positive)
262241,7876+-5671,[2205;13547],(72.0%),(visible;positive)
65034,7875+-5671,[2204;13546],(72.0%),(visible;positive)
12191,7872+-5671,[2201;13543],(72.0%),(visible;positive)
17352,7871+-5671,[2200;13542],(72.0%),(visible;positive)
21159,7869+-5671,[2198;13540],(72.1%),(visible;positive)
14981,7867+-5671,[2196;13538],(72.1%),(visible;positive)
40716,7852+-5671,[2181;13523],(72.2%),(visible;positive)
394646,7852+-5671,[2181;13523],(72.2%),(visible;positive)
265314,7846+-5671,[2175;13517],(72.3%),(visible;positive)
3255,7813+-5671,[2142;13484],(72.6%),(visible;positive)
49189,7812+-5671,[2141;13483],(72.6%),(visible;positive)
136935,7810+-5671,[2139;13481],(72.6%),(visible;positive)
39804,7793+-5671,[2122;13464],(72.8%),(visible;positive)
26972,7792+-5671,[2121;13463],(72.8%),(visible;positive)
61016,7789+-5671,[2118;13460],(72.8%),(visible;positive)
132881,7784+-5671,[2113;13455],(72.9%),(visible;positive)
26946,7775+-5671,[2104;13446],(72.9%),(visible;positive)
43828,7763+-5671,[2092;13434],(73.1%),(visible;positive)
27663,7761+-5671,[2090;13432],(73.1%),(visible;positive)
43062,7757+-5671,[2086;13428],(73.1%),(visible;positive)
29915,7743+-5671,[2072;13414],(73.2%),(visible;positive)
21631,7739+-5671,[2068;13410],(73.3%),(visible;positive)
16500,7737+-5671,[2066;13408],(73.3%),(visible;positive)
263765,7730+-5671,[2059;13401],(73.4%),(visible;positive)
29497,7728+-5671,[2057;13399],(73.4%),(visible;positive)
52226,7725+-5671,[2054;13396],(73.4%),(visible;positive)
55315,7720+-5671,[2049;13391],(73.5%),(visible;positive)
2680,7716+-5671,[2045;13387],(73.5%),(visible;positive)
1267,7695+-5671,[2024;13366],(73.7%),(visible;positive)
34405,7695+-5671,[2024;13366],(73.7%),(visible;positive)
20522,7691+-5671,[2020;13362],(73.7%),(visible;positive)
60378,7686+-5671,[2015;13357],(73.8%),(visible;positive)
197709,7686+-5671,[2015;13357],(73.8%),(visible;positive)
9143,7681+-5671,[2010;13352],(73.8%),(visible;positive)
395961,7681+-5671,[2010;13352],(73.8%),(visible;positive)
8412,7678+-5671,[2007;13349],(73.9%),(visible;positive)
36856,7678+-5671,[2007;13349],(73.9%),(visible;positive)
29141,7674+-5671,[2003;13345],(73.9%),(visible;positive)
52842,7672+-5671,[2001;13343],(73.9%),(visible;positive)
197702,7672+-5671,[2001;13343],(73.9%),(visible;positive)
13243,7665+-5671,[1994;13336],(74.0%),(visible;positive)
62172,7663+-5671,[1992;13334],(74.0%),(visible;positive)
45019,7662+-5671,[1991;13333],(74.0%),(visible;positive)
38760,7654+-5671,[1983;13325],(74.1%),(visible;positive)
18037,7649+-5671,[1978;13320],(74.1%),(visible;positive)
207143,7649+-5671,[1978;13320],(74.1%),(visible;positive)
58702,7621+-5671,[1950;13292],(74.4%),(visible;positive)
4671,7620+-5671,[1949;13291],(74.4%),(visible;positive)
267466,7619+-5671,[1948;13290],(74.4%),(visible;positive)
136618,7618+-5671,[1947;13289],(74.4%),(visible;positive)
206569,7614+-5671,[1943;13285],(74.5%),(visible;positive)
32802,7611+-5671,[1940;13282],(74.5%),(visible;positive)
43458,7603+-5671,[1932;13274],(74.6%),(visible;positive)
45688,7602+-5671,[1931;13273],(74.6%),(visible;positive)
22687,7601+-5671,[1930;13272],(74.6%),(visible;positive)
63098,7597+-5671,[1926;13268],(74.6%),(visible;positive)
63112,7597+-5671,[1926;13268],(74.6%),(visible;positive)
39612,7596+-5671,[1925;13267],(74.7%),(visible;positive)
201466,7595+-5671,[1924;13266],(74.7%),(visible;positive)
396522,7593+-5671,[1922;13264],(74.7%),(visible;positive)
20001,7591+-5671,[1920;13262],(74.7%),(visible;positive)
47754,7589+-5671,[1918;13260],(74.7%),(visible;positive)
39147,7587+-5671,[1916;13258],(74.7%),(visible;positive)
44302,7586+-5671,[1915;13257],(74.8%),(visible;positive)
28851,7583+-5671,[1912;13254],(74.8%),(visible;positive)
395486,7580+-5671,[1909;13251],(74.8%),(visible;positive)
2903,7577+-5671,[1906;13248],(74.8%),(visible;positive)
30311,7574+-5671,[1903;13245],(74.9%),(visible;positive)
39706,7573+-5671,[1902;13244],(74.9%),(visible;positive)
44702,7563+-5671,[1892;13234],(75.0%),(visible;positive)
27363,7557+-5671,[1886;13228],(75.0%),(visible;positive)
263596,7552+-5671,[1881;13223],(75.1%),(visible;positive)
197415,7550+-5671,[1879;13221],(75.1%),(visible;positive)
394996,7550+-5671,[1879;13221],(75.1%),(visible;positive)
17639,7548+-5671,[1877;13219],(75.1%),(visible;positive)
54706,7543+-5671,[1872;13214],(75.2%),(visible;positive)
54762,7539+-5671,[1868;13210],(75.2%),(visible;positive)
3181,7537+-5671,[1866;13208],(75.2%),(visible;positive)
27349,7531+-5671,[1860;13202],(75.3%),(visible;positive)
47496,7530+-5671,[1859;13201],(75.3%),(visible;positive)
199361,7524+-5671,[1853;13195],(75.4%),(visible;positive)
199833,7524+-5671,[1853;13195],(75.4%),(visible;positive)
22504,7521+-5671,[1850;13192],(75.4%),(visible;positive)
5555,7520+-5671,[1849;13191],(75.4%),(visible;positive)
