ASNumber,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue],(NoisePercent=BinValue/NoiseValue),(Status(NoisePercent<100%);Status(BinValue-NoiseValue>0))
1241,7436+-5671,[1765;13107],(76.3%),(visible;positive)
41268,7411+-5671,[1740;13082],(76.5%),(visible;positive)
56988,7185+-5671,[1514;12856],(78.9%),(visible;positive)
26873,7144+-5671,[1473;12815],(79.4%),(visible;positive)
12874,7131+-5671,[1460;12802],(79.5%),(visible;positive)
205260,6929+-5671,[1258;12600],(81.8%),(visible;positive)
45102,6906+-5671,[1235;12577],(82.1%),(visible;positive)
51937,6806+-5671,[1135;12477],(83.3%),(visible;positive)
65034,6786+-5671,[1115;12457],(83.6%),(visible;positive)
35593,6732+-5671,[1061;12403],(84.2%),(visible;positive)
57522,6652+-5671,[981;12323],(85.3%),(visible;positive)
12271,6651+-5671,[980;12322],(85.3%),(visible;positive)
30311,6551+-5671,[880;12222],(86.6%),(visible;positive)
60773,6540+-5671,[869;12211],(86.7%),(visible;positive)
2516,6530+-5671,[859;12201],(86.8%),(visible;positive)
43771,6524+-5671,[853;12195],(86.9%),(visible;positive)
20540,6488+-5671,[817;12159],(87.4%),(visible;positive)
18403,6474+-5671,[803;12145],(87.6%),(visible;positive)
59942,6470+-5671,[799;12141],(87.7%),(visible;positive)
20001,6408+-5671,[737;12079],(88.5%),(visible;positive)
38511,6379+-5671,[708;12050],(88.9%),(visible;positive)
263152,6363+-5671,[692;12034],(89.1%),(visible;positive)
44395,6327+-5671,[656;11998],(89.6%),(visible;positive)
28884,6324+-5671,[653;11995],(89.7%),(visible;positive)
2107,6302+-5671,[631;11973],(90.0%),(visible;positive)
45609,6287+-5671,[616;11958],(90.2%),(visible;positive)
49984,6190+-5671,[519;11861],(91.6%),(visible;positive)
264228,6178+-5671,[507;11849],(91.8%),(visible;positive)
55666,6167+-5671,[496;11838],(92.0%),(visible;positive)
21826,6109+-5671,[438;11780],(92.8%),(visible;positive)
19007,6105+-5671,[434;11776],(92.9%),(visible;positive)
51752,6095+-5671,[424;11766],(93.0%),(visible;positive)
12958,6056+-5671,[385;11727],(93.6%),(visible;positive)
51020,5976+-5671,[305;11647],(94.9%),(visible;positive)
206379,5966+-5671,[295;11637],(95.1%),(visible;positive)
63198,5927+-5671,[256;11598],(95.7%),(visible;positive)
4761,5874+-5671,[203;11545],(96.5%),(visible;positive)
22130,5874+-5671,[203;11545],(96.5%),(visible;positive)
135865,5855+-5671,[184;11526],(96.9%),(visible;positive)
131445,5810+-5671,[139;11481],(97.6%),(visible;positive)
12519,5808+-5671,[137;11479],(97.6%),(visible;positive)
394996,5803+-5671,[132;11474],(97.7%),(visible;positive)
16169,5735+-5671,[64;11406],(98.9%),(visible;positive)
263766,5702+-5671,[31;11373],(99.5%),(visible;positive)
10481,5661+-5671,[-10;11332],(100.2%),(obscured;zero)
16715,5650+-5671,[-21;11321],(100.4%),(obscured;zero)
263482,5650+-5671,[-21;11321],(100.4%),(obscured;zero)
14808,5629+-5671,[-42;11300],(100.7%),(obscured;zero)
8167,5616+-5671,[-55;11287],(101.0%),(obscured;zero)
15582,5598+-5671,[-73;11269],(101.3%),(obscured;zero)
44286,5591+-5671,[-80;11262],(101.4%),(obscured;zero)
11427,5515+-5671,[-156;11186],(102.8%),(obscured;zero)
24475,5443+-5671,[-228;11114],(104.2%),(obscured;zero)
16992,5430+-5671,[-241;11101],(104.4%),(obscured;zero)
8601,5384+-5671,[-287;11055],(105.3%),(obscured;zero)
18881,5371+-5671,[-300;11042],(105.6%),(obscured;zero)
3255,5369+-5671,[-302;11040],(105.6%),(obscured;zero)
265935,5318+-5671,[-353;10989],(106.6%),(obscured;zero)
5466,5290+-5671,[-381;10961],(107.2%),(obscured;zero)
196678,5282+-5671,[-389;10953],(107.4%),(obscured;zero)
49559,5268+-5671,[-403;10939],(107.6%),(obscured;zero)
39058,5237+-5671,[-434;10908],(108.3%),(obscured;zero)
202979,5205+-5671,[-466;10876],(109.0%),(obscured;zero)
48119,5203+-5671,[-468;10874],(109.0%),(obscured;zero)
40002,5189+-5671,[-482;10860],(109.3%),(obscured;zero)
16372,5181+-5671,[-490;10852],(109.5%),(obscured;zero)
265229,5163+-5671,[-508;10834],(109.8%),(obscured;zero)
55512,5160+-5671,[-511;10831],(109.9%),(obscured;zero)
47674,5152+-5671,[-519;10823],(110.1%),(obscured;zero)
133084,5152+-5671,[-519;10823],(110.1%),(obscured;zero)
263101,5132+-5671,[-539;10803],(110.5%),(obscured;zero)
35687,5128+-5671,[-543;10799],(110.6%),(obscured;zero)
263534,5126+-5671,[-545;10797],(110.6%),(obscured;zero)
31213,5107+-5671,[-564;10778],(111.0%),(obscured;zero)
20470,5102+-5671,[-569;10773],(111.2%),(obscured;zero)
132199,5090+-5671,[-581;10761],(111.4%),(obscured;zero)
136239,5028+-5671,[-643;10699],(112.8%),(obscured;zero)
54216,5023+-5671,[-648;10694],(112.9%),(obscured;zero)
52511,5010+-5671,[-661;10681],(113.2%),(obscured;zero)
199342,5007+-5671,[-664;10678],(113.3%),(obscured;zero)
32468,4997+-5671,[-674;10668],(113.5%),(obscured;zero)
30880,4989+-5671,[-682;10660],(113.7%),(obscured;zero)
26516,4983+-5671,[-688;10654],(113.8%),(obscured;zero)
15378,4958+-5671,[-713;10629],(114.4%),(obscured;zero)
132554,4943+-5671,[-728;10614],(114.7%),(obscured;zero)
27747,4940+-5671,[-731;10611],(114.8%),(obscured;zero)
39477,4932+-5671,[-739;10603],(115.0%),(obscured;zero)
201405,4924+-5671,[-747;10595],(115.2%),(obscured;zero)
205668,4918+-5671,[-753;10589],(115.3%),(obscured;zero)
11782,4891+-5671,[-780;10562],(115.9%),(obscured;zero)
47664,4887+-5671,[-784;10558],(116.0%),(obscured;zero)
34624,4880+-5671,[-791;10551],(116.2%),(obscured;zero)
206328,4880+-5671,[-791;10551],(116.2%),(obscured;zero)
263096,4870+-5671,[-801;10541],(116.4%),(obscured;zero)
8881,4856+-5671,[-815;10527],(116.8%),(obscured;zero)
42036,4844+-5671,[-827;10515],(117.1%),(obscured;zero)
31195,4819+-5671,[-852;10490],(117.7%),(obscured;zero)
57796,4790+-5671,[-881;10461],(118.4%),(obscured;zero)
13999,4788+-5671,[-883;10459],(118.4%),(obscured;zero)
37164,4775+-5671,[-896;10446],(118.8%),(obscured;zero)
132263,4762+-5671,[-909;10433],(119.1%),(obscured;zero)
46803,4756+-5671,[-915;10427],(119.2%),(obscured;zero)
44346,4718+-5671,[-953;10389],(120.2%),(obscured;zero)
28012,4696+-5671,[-975;10367],(120.8%),(obscured;zero)
25515,4682+-5671,[-989;10353],(121.1%),(obscured;zero)
134306,4681+-5671,[-990;10352],(121.1%),(obscured;zero)
12430,4676+-5671,[-995;10347],(121.3%),(obscured;zero)
34930,4652+-5671,[-1019;10323],(121.9%),(obscured;zero)
62801,4644+-5671,[-1027;10315],(122.1%),(obscured;zero)
55378,4642+-5671,[-1029;10313],(122.2%),(obscured;zero)
395767,4606+-5671,[-1065;10277],(123.1%),(obscured;zero)
29141,4604+-5671,[-1067;10275],(123.2%),(obscured;zero)
9143,4586+-5671,[-1085;10257],(123.7%),(obscured;zero)
4739,4557+-5671,[-1114;10228],(124.4%),(obscured;zero)
9230,4552+-5671,[-1119;10223],(124.6%),(obscured;zero)
23391,4545+-5671,[-1126;10216],(124.8%),(obscured;zero)
393427,4540+-5671,[-1131;10211],(124.9%),(obscured;zero)
136585,4534+-5671,[-1137;10205],(125.1%),(obscured;zero)
267647,4531+-5671,[-1140;10202],(125.2%),(obscured;zero)
12715,4520+-5671,[-1151;10191],(125.5%),(obscured;zero)
132694,4520+-5671,[-1151;10191],(125.5%),(obscured;zero)
22764,4517+-5671,[-1154;10188],(125.5%),(obscured;zero)
10294,4500+-5671,[-1171;10171],(126.0%),(obscured;zero)
36915,4496+-5671,[-1175;10167],(126.1%),(obscured;zero)
21592,4481+-5671,[-1190;10152],(126.6%),(obscured;zero)
9299,4474+-5671,[-1197;10145],(126.8%),(obscured;zero)
49253,4465+-5671,[-1206;10136],(127.0%),(obscured;zero)
4750,4454+-5671,[-1217;10125],(127.3%),(obscured;zero)
3181,4452+-5671,[-1219;10123],(127.4%),(obscured;zero)
55315,4447+-5671,[-1224;10118],(127.5%),(obscured;zero)
10184,4434+-5671,[-1237;10105],(127.9%),(obscured;zero)
39551,4430+-5671,[-1241;10101],(128.0%),(obscured;zero)
41473,4392+-5671,[-1279;10063],(129.1%),(obscured;zero)
56772,4376+-5671,[-1295;10047],(129.6%),(obscured;zero)
132453,4361+-5671,[-1310;10032],(130.0%),(obscured;zero)
36939,4358+-5671,[-1313;10029],(130.1%),(obscured;zero)
204175,4355+-5671,[-1316;10026],(130.2%),(obscured;zero)
31815,4337+-5671,[-1334;10008],(130.8%),(obscured;zero)
200059,4310+-5671,[-1361;9981],(131.6%),(obscured;zero)
46536,4302+-5671,[-1369;9973],(131.8%),(obscured;zero)
16114,4288+-5671,[-1383;9959],(132.3%),(obscured;zero)
57353,4267+-5671,[-1404;9938],(132.9%),(obscured;zero)
36351,4263+-5671,[-1408;9934],(133.0%),(obscured;zero)
262997,4239+-5671,[-1432;9910],(133.8%),(obscured;zero)
9800,4224+-5671,[-1447;9895],(134.3%),(obscured;zero)
27541,4198+-5671,[-1473;9869],(135.1%),(obscured;zero)
133404,4186+-5671,[-1485;9857],(135.5%),(obscured;zero)
203126,4181+-5671,[-1490;9852],(135.6%),(obscured;zero)
28408,4174+-5671,[-1497;9845],(135.9%),(obscured;zero)
58067,4168+-5671,[-1503;9839],(136.1%),(obscured;zero)
49739,4087+-5671,[-1584;9758],(138.8%),(obscured;zero)
27297,4059+-5671,[-1612;9730],(139.7%),(obscured;zero)
136480,4046+-5671,[-1625;9717],(140.2%),(obscured;zero)
24757,4039+-5671,[-1632;9710],(140.4%),(obscured;zero)
30479,3984+-5671,[-1687;9655],(142.3%),(obscured;zero)
62318,3980+-5671,[-1691;9651],(142.5%),(obscured;zero)
263981,3971+-5671,[-1700;9642],(142.8%),(obscured;zero)
41704,3968+-5671,[-1703;9639],(142.9%),(obscured;zero)
6712,3953+-5671,[-1718;9624],(143.5%),(obscured;zero)
12722,3941+-5671,[-1730;9612],(143.9%),(obscured;zero)
42696,3914+-5671,[-1757;9585],(144.9%),(obscured;zero)
32377,3903+-5671,[-1768;9574],(145.3%),(obscured;zero)
5555,3888+-5671,[-1783;9559],(145.9%),(obscured;zero)
55237,3888+-5671,[-1783;9559],(145.9%),(obscured;zero)
265124,3859+-5671,[-1812;9530],(147.0%),(obscured;zero)
40711,3849+-5671,[-1822;9520],(147.3%),(obscured;zero)
44702,3846+-5671,[-1825;9517],(147.5%),(obscured;zero)
40095,3845+-5671,[-1826;9516],(147.5%),(obscured;zero)
264788,3825+-5671,[-1846;9496],(148.3%),(obscured;zero)
10988,3817+-5671,[-1854;9488],(148.6%),(obscured;zero)
17639,3798+-5671,[-1873;9469],(149.3%),(obscured;zero)
58256,3798+-5671,[-1873;9469],(149.3%),(obscured;zero)
2043,3797+-5671,[-1874;9468],(149.4%),(obscured;zero)
8075,3797+-5671,[-1874;9468],(149.4%),(obscured;zero)
43678,3789+-5671,[-1882;9460],(149.7%),(obscured;zero)
11758,3770+-5671,[-1901;9441],(150.4%),(obscured;zero)
48736,3768+-5671,[-1903;9439],(150.5%),(obscured;zero)
61701,3757+-5671,[-1914;9428],(150.9%),(obscured;zero)
39293,3742+-5671,[-1929;9413],(151.5%),(obscured;zero)
19002,3741+-5671,[-1930;9412],(151.6%),(obscured;zero)
53989,3735+-5671,[-1936;9406],(151.8%),(obscured;zero)
203610,3735+-5671,[-1936;9406],(151.8%),(obscured;zero)
39612,3731+-5671,[-1940;9402],(152.0%),(obscured;zero)
14389,3714+-5671,[-1957;9385],(152.7%),(obscured;zero)
131224,3646+-5671,[-2025;9317],(155.5%),(obscured;zero)
17729,3630+-5671,[-2041;9301],(156.2%),(obscured;zero)
52660,3625+-5671,[-2046;9296],(156.4%),(obscured;zero)
24481,3623+-5671,[-2048;9294],(156.5%),(obscured;zero)
60019,3621+-5671,[-2050;9292],(156.6%),(obscured;zero)
201466,3591+-5671,[-2080;9262],(157.9%),(obscured;zero)
48693,3588+-5671,[-2083;9259],(158.1%),(obscured;zero)
46433,3580+-5671,[-2091;9251],(158.4%),(obscured;zero)
49753,3579+-5671,[-2092;9250],(158.5%),(obscured;zero)
32423,3572+-5671,[-2099;9243],(158.8%),(obscured;zero)
37623,3569+-5671,[-2102;9240],(158.9%),(obscured;zero)
30633,3563+-5671,[-2108;9234],(159.2%),(obscured;zero)
11921,3524+-5671,[-2147;9195],(160.9%),(obscured;zero)
267486,3513+-5671,[-2158;9184],(161.4%),(obscured;zero)
46034,3503+-5671,[-2168;9174],(161.9%),(obscured;zero)
395077,3491+-5671,[-2180;9162],(162.4%),(obscured;zero)
46598,3488+-5671,[-2183;9159],(162.6%),(obscured;zero)
31145,3452+-5671,[-2219;9123],(164.3%),(obscured;zero)
395826,3447+-5671,[-2224;9118],(164.5%),(obscured;zero)
51877,3435+-5671,[-2236;9106],(165.1%),(obscured;zero)
16524,3407+-5671,[-2264;9078],(166.5%),(obscured;zero)
46152,3407+-5671,[-2264;9078],(166.5%),(obscured;zero)
10234,3405+-5671,[-2266;9076],(166.5%),(obscured;zero)
12984,3402+-5671,[-2269;9073],(166.7%),(obscured;zero)
197685,3397+-5671,[-2274;9068],(166.9%),(obscured;zero)
17352,3395+-5671,[-2276;9066],(167.0%),(obscured;zero)
56710,3392+-5671,[-2279;9063],(167.2%),(obscured;zero)
60977,3391+-5671,[-2280;9062],(167.2%),(obscured;zero)
10196,3383+-5671,[-2288;9054],(167.6%),(obscured;zero)
18136,3382+-5671,[-2289;9053],(167.7%),(obscured;zero)
29069,3359+-5671,[-2312;9030],(168.8%),(obscured;zero)
1830,3329+-5671,[-2342;9000],(170.4%),(obscured;zero)
43981,3315+-5671,[-2356;8986],(171.1%),(obscured;zero)
46227,3310+-5671,[-2361;8981],(171.3%),(obscured;zero)
61769,3309+-5671,[-2362;8980],(171.4%),(obscured;zero)
61754,3288+-5671,[-2383;8959],(172.5%),(obscured;zero)
47442,3284+-5671,[-2387;8955],(172.7%),(obscured;zero)
39377,3278+-5671,[-2393;8949],(173.0%),(obscured;zero)
62901,3278+-5671,[-2393;8949],(173.0%),(obscured;zero)
44690,3277+-5671,[-2394;8948],(173.1%),(obscured;zero)
4717,3271+-5671,[-2400;8942],(173.4%),(obscured;zero)
132098,3261+-5671,[-2410;8932],(173.9%),(obscured;zero)
40572,3252+-5671,[-2419;8923],(174.4%),(obscured;zero)
64406,3252+-5671,[-2419;8923],(174.4%),(obscured;zero)
42022,3250+-5671,[-2421;8921],(174.5%),(obscured;zero)
136423,3240+-5671,[-2431;8911],(175.0%),(obscured;zero)
21645,3220+-5671,[-2451;8891],(176.1%),(obscured;zero)
12750,3215+-5671,[-2456;8886],(176.4%),(obscured;zero)
13734,3185+-5671,[-2486;8856],(178.1%),(obscured;zero)
23033,3175+-5671,[-2496;8846],(178.6%),(obscured;zero)
265303,3174+-5671,[-2497;8845],(178.7%),(obscured;zero)
201642,3172+-5671,[-2499;8843],(178.8%),(obscured;zero)
395651,3161+-5671,[-2510;8832],(179.4%),(obscured;zero)
25472,3151+-5671,[-2520;8822],(180.0%),(obscured;zero)
262589,3143+-5671,[-2528;8814],(180.4%),(obscured;zero)
27363,3129+-5671,[-2542;8800],(181.2%),(obscured;zero)
19131,3112+-5671,[-2559;8783],(182.2%),(obscured;zero)
393351,3107+-5671,[-2564;8778],(182.5%),(obscured;zero)
54795,3106+-5671,[-2565;8777],(182.6%),(obscured;zero)
59580,3103+-5671,[-2568;8774],(182.8%),(obscured;zero)
29802,3100+-5671,[-2571;8771],(182.9%),(obscured;zero)
49712,3084+-5671,[-2587;8755],(183.9%),(obscured;zero)
394118,3055+-5671,[-2616;8726],(185.6%),(obscured;zero)
51672,3054+-5671,[-2617;8725],(185.7%),(obscured;zero)
50879,3051+-5671,[-2620;8722],(185.9%),(obscured;zero)
69017,3049+-5671,[-2622;8720],(186.0%),(obscured;zero)
26985,3047+-5671,[-2624;8718],(186.1%),(obscured;zero)
203208,3036+-5671,[-2635;8707],(186.8%),(obscured;zero)
136618,3031+-5671,[-2640;8702],(187.1%),(obscured;zero)
265093,3018+-5671,[-2653;8689],(187.9%),(obscured;zero)
3298,3014+-5671,[-2657;8685],(188.2%),(obscured;zero)
37505,3005+-5671,[-2666;8676],(188.7%),(obscured;zero)
395949,3001+-5671,[-2670;8672],(189.0%),(obscured;zero)
33596,2999+-5671,[-2672;8670],(189.1%),(obscured;zero)
23365,2995+-5671,[-2676;8666],(189.3%),(obscured;zero)
26599,2991+-5671,[-2680;8662],(189.6%),(obscured;zero)
15645,2980+-5671,[-2691;8651],(190.3%),(obscured;zero)
51681,2962+-5671,[-2709;8633],(191.5%),(obscured;zero)
55508,2937+-5671,[-2734;8608],(193.1%),(obscured;zero)
17858,2927+-5671,[-2744;8598],(193.7%),(obscured;zero)
50142,2920+-5671,[-2751;8591],(194.2%),(obscured;zero)
19117,2912+-5671,[-2759;8583],(194.7%),(obscured;zero)
37035,2911+-5671,[-2760;8582],(194.8%),(obscured;zero)
60378,2900+-5671,[-2771;8571],(195.6%),(obscured;zero)
31585,2889+-5671,[-2782;8560],(196.3%),(obscured;zero)
15304,2876+-5671,[-2795;8547],(197.2%),(obscured;zero)
11144,2871+-5671,[-2800;8542],(197.5%),(obscured;zero)
47645,2870+-5671,[-2801;8541],(197.6%),(obscured;zero)
395478,2869+-5671,[-2802;8540],(197.7%),(obscured;zero)
131435,2859+-5671,[-2812;8530],(198.4%),(obscured;zero)
37906,2840+-5671,[-2831;8511],(199.7%),(obscured;zero)
47841,2822+-5671,[-2849;8493],(201.0%),(obscured;zero)
8422,2815+-5671,[-2856;8486],(201.5%),(obscured;zero)
