CounterName,BinValue+-NoiseValue,[BinValue-NoiseValue;BinValue+NoiseValue]
total,2196406+-4942,[2191464;2201348]
.com,817645+-4942,[812703;822587]
.org,969075+-4942,[964133;974017]
.net,109192+-4942,[104250;114134]
.br,6782+-4942,[1840;11724]
.cn,488+-4942,[-4454;5430]
.de,15824+-4942,[10882;20766]
.fr,8387+-4942,[3445;13329]
.in,4477+-4942,[-465;9419]
.ir,4325+-4942,[-617;9267]
.it,3294+-4942,[-1648;8236]
.jp,10046+-4942,[5104;14988]
.pl,6149+-4942,[1207;11091]
.ru,61730+-4942,[56788;66672]
.uk,10763+-4942,[5821;15705]
other,174131+-4942,[169189;179073]
